ID,Clee,Nombre de la Unidad Económica,Razón social,Código de la clase de actividad SCIAN,Nombre de clase de la actividad,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,Número exterior o kilómetro,Letra exterior,Edificio,Edificio Piso,Número interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado público",Número de local,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Manzana,Número de teléfono,Correo electrónico,Sitio en Internet,Tipo de establecimiento,Latitud,Longitud,Fecha de incorporación al DENUE
1872321,14120611122002063000000000U9,ESCUELA PRIMARIA URBANA 1067 15 DE MAYO 14EPR1518Z TV,SECRETARIA DE EDUCACION JALISCO ,611122,Escuelas de educación primaria del sector público,11 a 30 personas,CALLE,CHICHEN ITZA,CALLE,NAHAI,CALLE,DELLI,CALLE,ADOLFO RODRIGUEZ,10.0,A,,,0.0,,COLONIA,LA MESA COLORADA PONIENTE,,,,45189,14,JALISCO,120,Zapopan,1,Zapopan,2810,35,,,,Fijo,20.77475983,-103.34474746,2014-12
1638963,14120611122002913001000000U5,ESCUELA PRIMARIA VICENTE GUERRERO T M 14DPR1395H,ESCUELA PRIMARIA VICENTE GUERRERO ,611122,Escuelas de educación primaria del sector público,11 a 30 personas,CALLE,LIBERTAD,CALLE,5 DE MAYO,CALLE,ANGULO,PRIVADA,20 DE ENERO,230.0,,,,0.0,,MANZANA,SAN JUAN OCOTAN,,,,45019,14,JALISCO,120,Zapopan,1,Zapopan,0617,26,,,,Fijo,20.71279976,-103.45277438,2010-07
1639264,14120611132000144000000000U8,ESCUELA SECUNDARIA GENERAL 67 JUAN JOSE ARREOLA TURNO MATUTINO,ESCUELA SECUNDARIA GENERAL 67 JUAN JOSE ARREOLA ,611132,Escuelas de educación secundaria general del sector público,31 a 50 personas,AVENIDA,AV INGLATERRA,CALLE,NINGUNO,AVENIDA,COLEGIO DEL AIRE,CALLE,ANILLO PERIFERICO NORTE MANUEL GOMEZ MORIN,308.0,,,,,,COLONIA,SAN JUAN DE OCOTAN,,,,45019,14,JALISCO,120,Zapopan,1,Zapopan,3664,5,,ARREOLADOCENTETM@GMAIL.COM,,Fijo,20.70323835,-103.45695562,2014-12
1639265,14120611132000011001000000U9,ESCUELA SECUNDARIA GENERAL 67 JUAN JOSE ARREOLA TURNO VESPERTINO,ESCUELA SECUNDARIA GENERAL JUAN JOSE ARREOLA ,611132,Escuelas de educación secundaria general del sector público,31 a 50 personas,AVENIDA,INGLATERRA,CALLE,NINGUNO,AVENIDA,COLEGIO DEL AIRE,CALLE,ANILLO PERIFERICO NORTE MANUEL GOMEZ MORIN,343.0,,,,,,COLONIA,SAN JUAN DE OCOTAN,,,,45019,14,JALISCO,120,Zapopan,1,Zapopan,3664,5,,,,Fijo,20.70352062,-103.45914875,2014-12
1707221,14120611132000483000000000U0,ESCUELA TELESECUNDARIA MARIANO AZUELA 14DTV0230R SEJ,14DTV0230R SEJ ,611132,Escuelas de educación secundaria general del sector público,0 a 5 personas,CALLE,JILOTAS,CALLE,NARANJO,CALLE,HIDALGO,CALLE,LA SIDRA,,SN,,,,,PUEBLO,SAN ESTEBAN,,,,45205,14,JALISCO,120,Zapopan,206,San Esteban (San Miguel Tateposco),5054,10,3336254142.0,,,Fijo,20.79391056,-103.37241758,2014-12
1707925,14120611172000103001000000U0,INSTITUTO ESTATAL DE LA EDUCACION PARA JOVENES Y ADULTOS,INEEJAD JALISCO ,611172,Escuelas del sector público que combinan diversos niveles de educación,6 a 10 personas,AVENIDA,INDIGENA,CALLE,ALFONSO PADILLA,CALLE,ELOTE,CALLE,NINGUNO,825.0,A,,,,,COLONIA,LA MESA COLORADA PONIENTE,,,,45189,14,JALISCO,120,Zapopan,1,Zapopan,2825,15,,OFICINA.MPAL.CMC@GMAIL.COM,INEJAD.JALISCO.GOB.MX,Fijo,20.76724211,-103.34124686,2014-12
6339061,14120611121000756000000000U2,INSTITUTO TEPEYAC,INSTITUTO EDUCATIVO TEPEYAC GUADALAJARA SC,611171,Escuelas del sector privado que combinan diversos niveles de educación,101 a 250 personas,CALLE,OCAMPO,CALLE,PARRAL,CALLE,OCAMPO,OTRO(ESPECIFIQUE),PARRAL 2,389.0,,,,,,COLONIA,SAN JUAN DE OCOTAN,,,,45019,14,JALISCO,120,Zapopan,1,Zapopan,0617,54,,JAVIER.OREGEL@TEPEYAC.MX,,Fijo,20.70735882,-103.44914797,2010-07
1878657,14120611112000662000000000U1,JARDIN DE NIÑOS 644 TENOCH,JARDIN DE NIÑOS ,611112,Escuelas de educación preescolar del sector público,11 a 30 personas,CALLE,CALLI,CALLE,COMITL,CALLE,OZTOTL,CALLE,TONATIUH,644.0,,,,0.0,SN,COLONIA,LA MESA COLORADA PONIENTE,,,,45189,14,JALISCO,120,Zapopan,1,Zapopan,2825,9,,,,Fijo,20.77086887,-103.34358851,2010-07
7038168,14120611111003341000000000U1,JARDIN DE NIÑOS AGAZZI,,611111,Escuelas de educación preescolar del sector privado,6 a 10 personas,CALLE,ZARAGOZA,AVENIDA,HIDALGO,CALLE,EJIDO,CALLE,EMILIANO ZAPATA,33.0,,,,0.0,,COLONIA,NEXTIPAC,,,,45220,14,JALISCO,120,Zapopan,139,Nextipac,5980,4,,,,Fijo,20.7652357,-103.52485979,2019-11
1639127,14120611112000181000000000U2,JARDIN DE NIÑOS ALFREDO V BONFIL,SECRETARIA DE EDUCACION PUBLICA TV ,611112,Escuelas de educación preescolar del sector público,11 a 30 personas,CALLE,ANGULO,CALLE,SONORA,PRIVADA,ANGULO,CALLE,5 DE MAYO,334.0,,,,0.0,,MANZANA,SAN JUAN DE OCOTAN,,,,45019,14,JALISCO,120,Zapopan,1,Zapopan,0617,33,,,,Fijo,20.71279089,-103.4508408,2010-07
1702514,14120611112002993000000000U8,JARDIN DE NIÑOS ALFREDO V BONFIL,SECRETARIA DE EDUCACION JALISCO TM ,611112,Escuelas de educación preescolar del sector público,11 a 30 personas,CALLE,ANGULO,CALLE,SONORA,PRIVADA,ANGULO,CALLE,5 DE MAYO,334.0,,,,0.0,,MANZANA,SAN JUAN DE OCOTAN,,,,45019,14,JALISCO,120,Zapopan,1,Zapopan,0617,33,,,,Fijo,20.71279089,-103.4508408,2014-12
1702573,14120611112002192000000000U7,JARDIN DE NIÑOS AURELIO ORTEGA T V14DJN2052C,SECRETARIA DE EDUCACION JALISCO ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,CALLE,20 DE ENERO,CALLE,ALFONSO GARZON SANTIBAÑEZ,CALLE,JUAN DIEGO,CALLE,HIDALGO,22.0,,,,0.0,,COLONIA,SAN JUAN DE OCOTAN,,,,45019,14,JALISCO,120,Zapopan,1,Zapopan,0617,36,,,,Fijo,20.70187486,-103.45227802,2014-12
1707411,14120611111002432000000000S9,JARDIN DE NIÑOS FRAY ANTONIO ALCALDE,ESTANCIA INFANTIL FRAY ANTONIO ALCALDE AC,611111,Escuelas de educación preescolar del sector privado,6 a 10 personas,CALLE,XOCHIQUETZAL,PRIVADA,MANZANO,CALLE,ADOLFO RODRIGUEZ,CALLE,ADOLFO RODRIGUEZ,2064.0,,,,,,COLONIA,MESA COLORADA PONIENTE,,,,45189,14,JALISCO,120,Zapopan,1,Zapopan,2810,57,3336253354.0,ESINFAA@YAHOO.COM,,Fijo,20.7769549,-103.34894688,2014-12
1638638,14120611112001302000000000U3,JARDIN DE NIÑOS JUAN JOSE ARREOLA,JARDIN DE NIÑOS JUAN JOSE ARREOLA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,CALLE,SAN JUAN,CALLE,INDEPENDENCIA,CALLE,16 DE SEPTIEMBRE,CALLE,5 DE MAYO,185.0,,,,0.0,,COLONIA,SAN JUAN DE OCOTAN,,,,45019,14,JALISCO,120,Zapopan,1,Zapopan,0617,1,3314851266.0,14DJM2142V@ESCUELAS.SEJ.GOB.MX,,Fijo,20.7118102,-103.45431156,2010-07
1640493,14120611112000622000000000U5,JARDIN DE NIÑOS JUANA INES DE LA CRUZ 14EJN0107A SEJ,JARDIN DE NIÑOS JUANA INES DE LA CRUZ 14EJN0107A SEJ ,611112,Escuelas de educación preescolar del sector público,11 a 30 personas,CALLE,PASEO DEL SERENERO,CALLE,CAMICHIN,CALLE,NINGUNO,CALLE,NINGUNO,0.0,SN,,,,,COLONIA,NEXTIPAC,,,,45220,14,JALISCO,120,Zapopan,139,Nextipac,5980,33,,,,Fijo,20.76866038,-103.52279953,2010-07
1707304,14120611112002682001000000U7,JARDIN DE NIÑOS MAGDALENA CUEVA Y CUEVA 471 14EJN0955D TM,SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,11 a 30 personas,CALLE,CALLI,CALLE,COMITL,CALLE,OZTOTL,CALLE,TONATIUH,471.0,,,,0.0,,COLONIA,LA MESA COLORADA PONIENTE,,,,45189,14,JALISCO,120,Zapopan,1,Zapopan,2825,9,,,,Fijo,20.77086172,-103.34359241,2014-12
1708165,14120611112002621000000000U5,JARDIN DE NIÑOS NARCISO MENDOZA,JARDIN DE NIÑOS NARCISO MENDOZA 14DJN0368N ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,CALLE,OZOMATLI,CALLE,INGENIERO ALBERTO MORA LOPEZ,AVENIDA,INDIGENA,CALLE,TOMATE,720.0,,,,0.0,,COLONIA,MESA PONIENTE,,,,45189,14,JALISCO,120,Zapopan,1,Zapopan,2789,9,,,,Fijo,20.76851251,-103.34354021,2014-12
1638594,14120611111000721000000000U7,JARDIN DE NIÑOS ROSAURA ZAPATA,,611111,Escuelas de educación preescolar del sector privado,0 a 5 personas,CALLE,LIBERTAD,CALLE,5 DE MAYO,CALLE,ANGULO,CALLE,INDEPENDENCIA,217.0,,,,,,MANZANA,SAN JUAN DE OCOTAN,,,,45019,14,JALISCO,120,Zapopan,1,Zapopan,0617,8,3331100411.0,ROZAURAZAPATA@HOTMAIL.COM,,Fijo,20.71248996,-103.45293605,2010-07
1639148,14120611112000612000000000U6,JARDIN DE NIÑOS XUCHITLA T/M14DJN1802G,SECRETARIA DE EDUCACION JALISCO ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,CALLE,20 DE ENERO,CALLE,ALFONSO GARZON SANTIBAÑEZ,CALLE,JUAN DIEGO,CALLE,HIDALGO,22.0,,,,,,COLONIA,SAN JUAN DE OCOTAN,,,,45019,14,JALISCO,120,Zapopan,1,Zapopan,0617,36,,,,Fijo,20.70187486,-103.45227802,2010-07
1639238,14120611111000081000000000U6,JARDIN QUETZALCOALT,,611111,Escuelas de educación preescolar del sector privado,6 a 10 personas,CALLE,PARRAL,PRIVADA,MATEOS,CALLE,ANILLO PERIFERICO NORTE MANUEL GOMEZ MORIN,CALLE,ANILLO PERIFERICO NORTE MANUEL GOMEZ MORIN,38.0,,,,,,COLONIA,SAN JUAN DE OCOTAN,,,,45019,14,JALISCO,120,Zapopan,1,Zapopan,0617,41,3313373118.0,,,Fijo,20.70275252,-103.45154398,2010-07
1707410,14120611162000174001000000U2,PLANTEL 16 MESA DE LOS OCOTES VIVENTE GUERRERO COBAEJ,COLEGIO DE BACHILLERES DEL ESTADO DE JALISCO ,611162,Escuelas de educación media superior del sector público,11 a 30 personas,CALLE,NARANJOS,CALLE,GRANADOS,CALLE,NISPERO,CALLE,NARANJOS,1840.0,,,,0.0,,CONDOMINIO,LA MESA COLORADA PONIENE,,,,45189,14,JALISCO,120,Zapopan,1,Zapopan,2774,61,3336234058.0,,WWW.COBAEJ.EDU.MX,Fijo,20.76807132,-103.35439356,2014-12
11520113,14120611112003301000000000U3,PREESCOLAR PILTZIN,14DJN0760R ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,CALLE,JILOTAS,CALLE,FELIPE ANGELES,CALLE,FELIPE ANGELES,CALLE,FELIPE ANGELES,111.0,,,,,,PUEBLO,SAN ESTEBAN,,,,45205,14,JALISCO,120,Zapopan,206,San Esteban (San Miguel Tateposco),5054,24,,,,Fijo,20.79538375,-103.3736928,2024-11
6711788,14120611171000981001000000U1,SUMMIT SCHOOL,SUMMIT SCHOOL AC,611171,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,CALLE,5 DE MAYO,CALLE,NINGUNO,AVENIDA,COLEGIO DEL AIRE,OTRO(ESPECIFIQUE),OCAMPO,500.0,,,,,,COLONIA,SAN JUAN DE OCOTAN,,,,45019,14,JALISCO,120,Zapopan,1,Zapopan,2064,2,,CONTABILIDAD@SUMMITSCHOOL.MX,WWW.SUMMITSCHOOL.MX,Fijo,20.71773156,-103.46734334,2016-01
1640514,14120611132000032001000000U5,TELESECUNDARIA IGNACIO L VALLARTA,14DTV0330Q SECRETARIA DE EDUCACION PUBLICA ,611132,Escuelas de educación secundaria general del sector público,6 a 10 personas,CALLE,JUAREZ,CALLE,EJIDO,AVENIDA,HIDALGO,CALLE,EMILIANO ZAPATA,8.0,,,,0.0,,COLONIA,NEXTIPAC,,,,45220,14,JALISCO,120,Zapopan,139,Nextipac,5980,1,,,,Fijo,20.76671405,-103.52548702,2010-07
